Name,ID,Procurement number,Type,WS_Type,Location,vegetation_min,vegetation_max,vegetation_mean,vegetation_stddev,terrain_min,terrain_max,terrain_mean,terrain_stddev,sky_equisolid_min,sky_equisolid_max,sky_equisolid_mean,sky_equisolid_stddev,sky_uppr_ortho_min,sky_uppr_ortho_max,sky_uppr_ortho_mean,sky_uppr_ortho_stddev,svf_tcm_min,svf_tcm_max,svf_tcm_mean,svf_tcm_stddev,other_min,other_max,other_mean,other_stddev,road_sidewalk_min,road_sidewalk_max,road_sidewalk_mean,road_sidewalk_stddev,building_wall_min,building_wall_max,building_wall_mean,building_wall_stddev
21 Open ground - King Edward VII Hall,21,36,Weather station,Ground,Open ground - King Edward VII Hall,0.010278,0.388843,0.15468,0.081247,0,0.335973,0.135831,0.104075,0.028033,0.374325,0.22474,0.088849,0.059951,0.829846,0.534953,0.210485,0.094905,0.849693,0.606059,0.1637,0.012111,0.50111,0.113595,0.068921,0,0.394968,0.117464,0.116337,0.010485,0.724141,0.253689,0.141484
22 Lamp post - to PGPR carpark,22,13,Weather station,Ground,Lamp post - to PGPR carpark,0,0.4522,0.136128,0.088295,0,0.338388,0.108644,0.100487,0,0.374325,0.226781,0.088281,0,0.829846,0.49952,0.216968,-0.002291,0.849693,0.549001,0.213155,0.000219,0.866775,0.119287,0.087605,0,0.394968,0.147345,0.11246,0.010485,0.876725,0.2684,0.181508
23 Column - near PGP water feature / pool,23,65,Weather station,Ground,Column - near PGP water feature / pool,0.001447,0.546779,0.102671,0.091916,0.000002,0.328991,0.082298,0.093752,0.000209,0.396571,0.26512,0.081997,0,0.884445,0.562109,0.193856,0.006284,0.886553,0.598033,0.179122,0.055354,0.697274,0.145201,0.078438,0,0.400703,0.165426,0.14171,0.017327,0.888349,0.254287,0.179558
25 Lamp post - next to running track,25,18,Weather station,Ground,Lamp post - next to running track,0.061939,0.564489,0.24672,0.167212,0.007215,0.401437,0.122772,0.07795,0.001505,0.428082,0.254206,0.154803,0.00199,0.92465,0.564772,0.325339,0.328408,0.929557,0.700492,0.174208,0.011461,0.253347,0.119247,0.038694,0.000053,0.363678,0.188036,0.115103,0,0.3718,0.069019,0.094267
26 Open ground - tennis court,26,39,Weather station,Ground,Open ground - tennis court,0.072279,0.651011,0.380515,0.157944,0.013391,0.401437,0.108095,0.065688,0.001505,0.397638,0.131321,0.127421,0.00199,0.868897,0.316758,0.284908,0.273465,0.884601,0.555094,0.150431,0.010409,0.540457,0.135741,0.077709,0.000053,0.354462,0.165275,0.104288,0,0.41641,0.079053,0.091101
27 Open ground – NUS Sports Field,27,24,Weather station,Ground,Open ground – NUS Sports Field,0.02949,0.365573,0.122774,0.090087,0.036586,0.416829,0.316729,0.106956,0.086191,0.437293,0.365552,0.080285,0.222763,0.953917,0.787958,0.187214,0.407362,0.959135,0.837453,0.139744,0.04209,0.410798,0.151152,0.077712,0,0.207437,0.010103,0.034011,0.001856,0.358065,0.033691,0.058721
28 Lamp post – CP10 behind S17,28,50,Weather station,Ground,Lamp post – CP10 behind S17,0.061855,0.51642,0.281313,0.12351,0.005772,0.277151,0.061906,0.043203,0.005331,0.292425,0.161557,0.081594,0.01226,0.615935,0.362192,0.163214,0.332482,0.733843,0.583862,0.083101,0.027614,0.244247,0.111979,0.039603,0.066418,0.36913,0.270659,0.065209,0.00013,0.450442,0.112587,0.100497
29 Open ground - CP6 between S7 and S13,29,37,Weather station,Ground,Open ground - CP6 between S7 and S13,0.014987,0.311833,0.103362,0.064222,0.000018,0.193954,0.043031,0.043136,0.006866,0.27532,0.178809,0.071946,0.011978,0.58789,0.407898,0.136156,0.031039,0.608998,0.460215,0.134099,0.018931,0.313957,0.134236,0.060224,0.013587,0.35637,0.234559,0.085901,0.137147,0.827508,0.306004,0.162423
30 Lamp post - next to S8,30,68,Weather station,Ground,Lamp post - next to S8,0.003826,0.109117,0.036477,0.026222,0,0.090919,0.01804,0.022844,0.025505,0.246714,0.124713,0.063056,0.091755,0.524038,0.337242,0.09912,0.090534,0.525069,0.333571,0.099325,0.00183,0.432225,0.069981,0.08748,0.041903,0.360672,0.217726,0.082949,0.071693,0.784218,0.533538,0.173568
31 Lamp post - next to S16,31,17,Weather station,Ground,Lamp post - next to S16,0.01358,0.605857,0.182202,0.14788,0,0.174787,0.037249,0.044161,0,0.261492,0.090558,0.063389,0,0.522755,0.176438,0.128023,-0.001236,0.527539,0.280378,0.149375,0.008119,0.459383,0.112309,0.065906,0.002074,0.35714,0.223684,0.098154,0.101642,0.966959,0.364748,0.208435
32 Lamp post – walkway between MD7-MD11,32,69,Weather station,Ground,Lamp post – walkway between MD7-MD11,0,0.364152,0.076386,0.071878,0,0.362953,0.107383,0.128013,0,0.239783,0.137698,0.079912,0,0.458178,0.194148,0.174616,-0.002291,0.490041,0.211115,0.179059,0.003993,0.490687,0.14097,0.080872,0,0.34038,0.100092,0.102634,0.021101,0.969396,0.480228,0.206928
33 Lamp post – in front of CELS lobby,33,16,Weather station,Ground,Lamp post – in front of CELS lobby,0.012332,0.37078,0.175068,0.099134,0,0.187036,0.021166,0.035679,0,0.225217,0.13735,0.056662,0,0.605674,0.323779,0.117462,0.001047,0.632005,0.380155,0.109261,0.01578,0.325303,0.121614,0.07181,0,0.335949,0.195733,0.099598,0.091688,0.913874,0.350175,0.165599
34 Open ground - Kent Ridge Road next to road to No 9 & 10,34,56,Weather station,Ground,Open ground - Kent Ridge Road next to road  to No 9 & 10,0.413073,0.653769,0.51107,0.054572,0,0.17047,0.035489,0.036793,0.037846,0.153896,0.101531,0.032797,0.101464,0.456367,0.297942,0.101082,0.23324,0.603104,0.459261,0.083234,0.003876,0.189278,0.079831,0.057129,0,0.283382,0.084335,0.103008,0,0.34813,0.187744,0.120221
36 Open ground - UTown opposite Tembusu College,36,43,Weather station,Ground,Open ground - UTown opposite Tembusu College,0.031735,0.676544,0.296763,0.136615,0.000006,0.375752,0.142486,0.112429,0,0.254148,0.112735,0.071064,0,0.512585,0.213503,0.152313,0.013203,0.978243,0.357964,0.175908,0.052616,0.264844,0.11019,0.024037,0,0.309723,0.067656,0.081105,0,0.876267,0.278675,0.20208
38 Column - UTown ERC seating,38,45,Weather station,Ground,Column - UTown ERC seating,0.001643,0.4304,0.081153,0.100368,0,0.384737,0.138274,0.092918,0,0.320455,0.206482,0.09528,0,0.680989,0.477753,0.22551,-0.002291,0.688162,0.49502,0.207275,0.077972,0.373029,0.138942,0.068724,0.000845,0.349114,0.189834,0.112596,0.030748,0.608664,0.245315,0.121229
39 Lamp post – opposite Stephen Riady Centre ,39,57,Weather station,Ground,Lamp post – opposite Stephen Riady Centre ,0.099388,0.519986,0.297234,0.109768,0.008514,0.192732,0.068784,0.047411,0.003753,0.279675,0.128264,0.070078,0.006669,0.588927,0.305002,0.128386,0.113896,0.619306,0.406375,0.100527,0.010939,0.351482,0.094432,0.066145,0.000113,0.397495,0.241955,0.097561,0.000206,0.658114,0.169331,0.10866
40 Lamp post – opposite UTown Plaza,40,44,Weather station,Ground,Lamp post – opposite UTown Plaza,0,0.345624,0.130707,0.084777,0,0.137257,0.012922,0.027621,0,0.405419,0.159176,0.124477,0,0.930714,0.356682,0.29615,-0.002291,0.931219,0.378033,0.290416,0.002702,0.670761,0.176889,0.143732,0,0.40382,0.189501,0.136322,0.091737,0.997256,0.331086,0.171965
